??a ?i?m tr?m ?o,T?nh,latitude,longitude,Lo?i ?ô th?
Ph?m V?n ??ng,Ha Noi,21.05121,105.78232,Lo?i ??c bi?t
M? ?ình,Ha Noi,21.01994,105.77056,Lo?i ??c bi?t
B?c T? Liêm,Ha Noi,21.04975,105.74187,Lo?i ??c bi?t
Nam T? Liêm,Ha Noi,21.00577,105.74842,Lo?i ??c bi?t
C?u Gi?y,Ha Noi,21.01525,105.80013,Lo?i ??c bi?t
Láng H?,Ha Noi,21.0215063,105.8188748,Lo?i ??c bi?t
??ng ?a,Ha Noi,21.0072,105.8357,Lo?i ??c bi?t
Hoàn Ki?m,Ha Noi,21.03982,105.84726,Lo?i ??c bi?t
Hoàng Mai,Ha Noi,20.98832,105.854897,Lo?i ??c bi?t
Ba ?ình,Ha Noi,21.04037,105.841,Lo?i ??c bi?t
B?n L?c,Long An,10.70246,106.46689,Lo?i IV
L??ng Tài,Bac Ninh,21.0015,106.17439,Lo?i V
Chí Linh,Hai Duong,21.14431,106.3385,Lo?i I
Tràng ??nh,Lang Son,22.31416,106.50546,Lo?i V
H?i Châu,Da Nang,16.04757,108.20433,Lo?i I
Gia Bình,Bac Ninh,21.05076,106.14515,Lo?i I
Tiên Du,Bac Ninh,21.0914,105.99085,Lo?i I
H?u L?ng,Lang Son,21.5373,106.36109,Lo?i V
Pleiku,Gia Lai,13.93786,107.98092,Lo?i I
H? Long,Quang Ninh,20.98373,106.96727,Lo?i I
Long Biên,Ha Noi,21.04266,105.8915,Lo?i ??c bi?t
Qu?n 5,Ho Chi Minh,10.75339,106.67012,Lo?i ??c bi?t
Cao L?c,Lang Son,21.93875,106.66632,Lo?i V
Kinh Môn,Hai Duong,21.0377,106.46395,Lo?i I
C?m Giàng,Hai Duong,20.93706,106.25512,Lo?i I
B?o Th?ng,Lao Cai,22.33039,104.12717,Lo?i V
Qu?ng Yên,Quang Ninh,20.99767,106.86104,Lo?i II
Vinh,Nghe An,19.349,104.57191,Lo?i I
Nha Trang,Khanh Hoa,12.3438,109.15579,Lo?i I
Nho Quan,Ninh Binh,20.27603,105.694,Lo?i IV
Ninh Ki?u,Can Tho,10.0255,105.76691,Lo?i I
Chí Linh,Bac Ninh,21.12219,106.2889,Lo?i IV
Qu? Võ,Bac Ninh,21.16197,106.15142,Lo?i IV
Tân Bình,Hai Duong,20.93295,106.30776,Lo?i I
Tây H?,Ha Noi,21.06468,105.82965,Lo?i ??c bi?t
Hòa Thành,Tay Ninh,11.26063,106.12277,Lo?i IV
TP. Thái Nguyên,Thai Nguyen,21.578,105.78117,Lo?i I
TP. Hu?,Hue,16.46253,107.59242,Lo?i I
Thu?n Thành,Bac Ninh,21.04409,106.06302,Lo?i IV
T? S?n,Bac Ninh,21.13111,105.97696,Lo?i III
TP. S?n La,Son La,21.3316,103.91199,Lo?i III
Duyên H?i,Tra Vinh,9.5858,106.51411,Lo?i IV
TP.Cao B?ng,Cao  Bang,22.66509,106.25065,Lo?i III
Tràng Bàng,Tay Ninh,11.06181,106.37923,Lo?i IV
Uông Bí,Quang Ninh,21.08191,106.75507,Lo?i II
Vi?t Trì,Phu Tho,21.33989,105.32895,Lo?i I
Long H?,Vinh Long,10.16002,105.93821,Lo?i V
V?ng Tàu,Ba Ria Vung Tau,10.40265,107.12854,Lo?i I
